TA, Crossing, Gate number, Time
Thakkar Divyakumar Rameshbhai, EXIT, 3, 10:06:16
Khushdev Pandit, ENTER, 1, 10:06:23
Khushdev Pandit, EXIT, 1, 10:06:25
Rishika Jain, ENTER, 5, 10:06:36
Khushdev Pandit, ENTER, 1, 10:06:39
Khushdev Pandit, EXIT, 1, 10:06:40
Khushdev Pandit, ENTER, 3, 10:06:46
Khushdev Pandit, EXIT, 5, 10:06:51
Karan Baboota, ENTER, 3, 10:07:01
Sushil Kumar, ENTER, 1, 10:07:11
Param Shah, ENTER, 1, 10:07:20
Khushdev Pandit, ENTER, 1, 10:07:22
Surbhi Goyal, EXIT, 5, 10:07:29
Vamshi Krishna Vannekala, ENTER, 5, 10:07:33
Vamshi Krishna Vannekala, EXIT, 3, 10:08:16
Bharat Goyal, ENTER, 5, 10:08:36
Khushdev Pandit, EXIT, 3, 10:08:39
Smiti Singhal, EXIT, 3, 10:08:41
Karan Baboota, EXIT, 3, 10:08:45
Surbhi Goyal, ENTER, 1, 10:09:12
Yuvraj Singh, ENTER, 3, 10:09:44
Swatantra kumar nigam, ENTER, 5, 10:09:47
Ankita Mahato, EXIT, 3, 10:09:56
Khushdev Pandit, ENTER, 5, 10:10:05
Sushil Kumar, EXIT, 3, 10:10:23
Ankita Mahato, ENTER, 3, 10:10:24
Khushdev Pandit, EXIT, 1, 10:10:25
Manav Saini, ENTER, 1, 10:10:30
Sahil Goyal, ENTER, 5, 10:10:57
Khushdev Pandit, ENTER, 5, 10:11:12
Vamshi Krishna Vannekala, ENTER, 5, 10:11:21
Rohan Dhar, ENTER, 5, 10:11:22
Manas, ENTER, 3, 10:11:29
Thakkar Divyakumar Rameshbhai, ENTER, 5, 10:11:47
Swaib Ilias Mazumder, EXIT, 5, 10:12:00
Mohammed Kaif, EXIT, 1, 10:12:09
Vamshi Krishna Vannekala, EXIT, 1, 10:12:10
Khushdev Pandit, EXIT, 5, 10:12:25
Manas, EXIT, 5, 10:12:29
Mohammed Kaif, ENTER, 3, 10:12:30
Khushdev Pandit, ENTER, 5, 10:12:38
Shashank Dargar, EXIT, 3, 10:12:51
Vamshi Krishna Vannekala, ENTER, 5, 10:13:23
Khushdev Pandit, EXIT, 1, 10:13:57
Ayush Srivastava, ENTER, 1, 10:14:02
Shraman Jain, ENTER, 1, 10:14:13
Sushil Kumar, ENTER, 5, 10:14:17
Shashank Dargar, ENTER, 5, 10:14:28
Khushdev Pandit, ENTER, 5, 10:14:30
Shashank Dargar, EXIT, 3, 10:14:37
Bharat Goyal, EXIT, 5, 10:14:52
Khushdev Pandit, EXIT, 3, 10:15:08
Anuj Yadav, ENTER, 3, 10:15:17
Sushil Kumar, EXIT, 5, 10:15:23
Ankita Mahato, EXIT, 3, 10:15:37
Khushdev Pandit, ENTER, 3, 10:15:42
Sahil Goyal, EXIT, 3, 10:15:45
Snehal, ENTER, 3, 10:15:49
Khushdev Pandit, EXIT, 3, 10:16:02
Khushdev Pandit, ENTER, 1, 10:16:12
Khushdev Pandit, EXIT, 1, 10:16:15
Anuj Yadav, EXIT, 5, 10:16:15
Kartik Gupta, ENTER, 3, 10:16:19
Param Shah, EXIT, 1, 10:16:48
Manav Saini, EXIT, 3, 10:16:53
Sushil Kumar, ENTER, 1, 10:16:54
Shambhavi Sharma, EXIT, 1, 10:17:15
Bhavya Jain, ENTER, 5, 10:17:17
Khushdev Pandit, ENTER, 5, 10:17:30
Ankita Mahato, ENTER, 5, 10:17:41
Kartik Gupta, EXIT, 5, 10:17:41
Rishabh Oberoi, ENTER, 1, 10:17:45
Ankita Mahato, EXIT, 5, 10:18:19
Khushdev Pandit, EXIT, 5, 10:18:26
Khushdev Pandit, ENTER, 1, 10:18:34
Smiti Singhal, ENTER, 5, 10:18:35
Rishika Jain, EXIT, 3, 10:18:45
Sumit Kumar, ENTER, 5, 10:18:52
Khushdev Pandit, EXIT, 5, 10:18:57
Manav Saini, ENTER, 3, 10:18:57
Swaib Ilias Mazumder, ENTER, 1, 10:19:25
Bhavya Jain, EXIT, 1, 10:19:32
Param Shah, ENTER, 5, 10:19:33
Surbhi Goyal, EXIT, 1, 10:19:37
Shambhavi Sharma, ENTER, 1, 10:20:11
Param Shah, EXIT, 5, 10:20:12
Mohammed Kaif, EXIT, 5, 10:20:13
Ujjwal Garg, EXIT, 5, 10:20:32
Khushdev Pandit, ENTER, 5, 10:20:37
Yuvraj Singh, EXIT, 1, 10:20:38
Swaib Ilias Mazumder, EXIT, 1, 10:20:41
Khushdev Pandit, EXIT, 1, 10:20:47
Thakkar Divyakumar Rameshbhai, EXIT, 1, 10:20:57
Vibhor Agarwal, EXIT, 3, 10:21:01
Vamshi Krishna Vannekala, EXIT, 3, 10:21:02
Swati Jha, EXIT, 5, 10:21:11
Khushdev Pandit, ENTER, 1, 10:21:13
Anuj Yadav, ENTER, 5, 10:21:32
Sahil Goyal, ENTER, 5, 10:21:36
Khushdev Pandit, EXIT, 5, 10:21:39
Swaib Ilias Mazumder, ENTER, 1, 10:21:54
Thakkar Divyakumar Rameshbhai, ENTER, 1, 10:21:59
Param Shah, ENTER, 5, 10:22:02
Khushdev Pandit, ENTER, 5, 10:22:08
Khushdev Pandit, EXIT, 5, 10:22:09
Aditya Raj Singh, ENTER, 1, 10:22:21
Rishika Jain, ENTER, 3, 10:22:26
Khushdev Pandit, ENTER, 5, 10:22:44
Khushdev Pandit, EXIT, 5, 10:23:16
Khushdev Pandit, ENTER, 3, 10:23:24
Khushdev Pandit, EXIT, 1, 10:23:30
Sushil Kumar, EXIT, 5, 10:23:46
Ankita Mahato, ENTER, 3, 10:23:48
Bharat Goyal, ENTER, 5, 10:24:11
Khushdev Pandit, ENTER, 3, 10:24:17
Shambhavi Sharma, EXIT, 5, 10:24:56
Manas, ENTER, 5, 10:25:08
Khushdev Pandit, EXIT, 5, 10:25:24
Aditya Raj Singh, EXIT, 1, 10:25:24
Karan Baboota, ENTER, 5, 10:25:46
Swaib Ilias Mazumder, EXIT, 1, 10:26:06
Manav Saini, EXIT, 5, 10:26:24
Khushdev Pandit, ENTER, 3, 10:26:28
Shashank Dargar, ENTER, 3, 10:26:37
Sushil Kumar, ENTER, 3, 10:26:42
Khushdev Pandit, EXIT, 5, 10:26:43
Bharat Goyal, EXIT, 1, 10:26:45
Khushdev Pandit, ENTER, 1, 10:26:50
Khushdev Pandit, EXIT, 1, 10:26:51
Bharat Goyal, ENTER, 5, 10:27:02
Sushil Kumar, EXIT, 1, 10:27:21
Khushdev Pandit, ENTER, 3, 10:27:31
Khushdev Pandit, EXIT, 3, 10:27:35
Thanmayee Matha, ENTER, 1, 10:27:58
Ankita Mahato, EXIT, 1, 10:28:01
Swatantra kumar nigam, EXIT, 3, 10:28:01
Khushdev Pandit, ENTER, 5, 10:28:07
Khushdev Pandit, EXIT, 5, 10:28:16
Sushil Kumar, ENTER, 1, 10:28:22
Bhavya Jain, ENTER, 5, 10:28:27
Mohammed Kaif, ENTER, 3, 10:28:50
Manav Saini, ENTER, 1, 10:28:51
Swati Jha, ENTER, 1, 10:29:17
Khushdev Pandit, ENTER, 3, 10:29:25
Ayush Srivastava, EXIT, 5, 10:29:31
Gayam Shivakanth Reddy, EXIT, 5, 10:29:32
Dhruv Mishra, EXIT, 3, 10:29:45
Gayam Shivakanth Reddy, ENTER, 3, 10:29:49
Khushdev Pandit, EXIT, 3, 10:29:55
Khushdev Pandit, ENTER, 3, 10:29:56
Rohan Dhar, EXIT, 1, 10:30:05
Yuvraj Singh, ENTER, 1, 10:30:09
Khushdev Pandit, EXIT, 3, 10:30:37
Khushdev Pandit, ENTER, 1, 10:30:39
Khushdev Pandit, EXIT, 1, 10:31:24
Shambhavi Sharma, ENTER, 5, 10:31:45
Kartik Gupta, ENTER, 3, 10:31:56
Aditya Raj Singh, ENTER, 5, 10:32:03
Swatantra kumar nigam, ENTER, 3, 10:32:11
Khushdev Pandit, ENTER, 5, 10:32:19
Swaib Ilias Mazumder, ENTER, 3, 10:32:26
Smiti Singhal, EXIT, 1, 10:32:27
Param Shah, EXIT, 1, 10:32:54
Manav Saini, EXIT, 5, 10:33:16
Shraman Jain, EXIT, 5, 10:33:29
Sahil Goyal, EXIT, 3, 10:33:57
Snehal, EXIT, 5, 10:34:01
Surbhi Goyal, ENTER, 5, 10:34:02
Sumit Kumar, EXIT, 5, 10:34:02
Manas, EXIT, 5, 10:34:05
Karan Baboota, EXIT, 3, 10:34:35
Surbhi Goyal, EXIT, 3, 10:34:48
Khushdev Pandit, EXIT, 5, 10:35:04
Vibhor Agarwal, ENTER, 5, 10:35:04
Sushil Kumar, EXIT, 5, 10:35:14
Sumit Kumar, ENTER, 1, 10:35:21
Khushdev Pandit, ENTER, 1, 10:35:31
Anuj Yadav, EXIT, 1, 10:35:38
Dhruv Mishra, ENTER, 5, 10:35:48
Vamshi Krishna Vannekala, ENTER, 3, 10:35:59
Khushdev Pandit, EXIT, 1, 10:36:02
Yuvraj Singh, EXIT, 3, 10:36:06
Shambhavi Sharma, EXIT, 5, 10:36:10
Smiti Singhal, ENTER, 5, 10:36:16
Thakkar Divyakumar Rameshbhai, EXIT, 3, 10:36:20
Ayush Srivastava, ENTER, 3, 10:36:22
Param Shah, ENTER, 5, 10:36:30
Khushdev Pandit, ENTER, 5, 10:36:39
Khushdev Pandit, EXIT, 3, 10:36:39
Yuvraj Singh, ENTER, 3, 10:37:09
Shambhavi Sharma, ENTER, 1, 10:37:20
Khushdev Pandit, ENTER, 5, 10:37:28
Swatantra kumar nigam, EXIT, 5, 10:37:28
Khushdev Pandit, EXIT, 3, 10:37:29
Khushdev Pandit, ENTER, 3, 10:37:42
Khushdev Pandit, EXIT, 1, 10:37:53
Khushdev Pandit, ENTER, 5, 10:38:10
Khushdev Pandit, EXIT, 1, 10:38:14
Swati Jha, EXIT, 1, 10:38:14
Kartik Gupta, EXIT, 1, 10:38:14
Khushdev Pandit, ENTER, 3, 10:38:16
Manav Saini, ENTER, 3, 10:38:20
Khushdev Pandit, EXIT, 5, 10:38:36
Bharat Goyal, EXIT, 1, 10:38:36
Bhavya Jain, EXIT, 5, 10:38:49
Dhruv Mishra, EXIT, 1, 10:38:57
Ayush Srivastava, EXIT, 1, 10:39:10
Khushdev Pandit, ENTER, 1, 10:39:11
Ayush Srivastava, ENTER, 5, 10:39:14
Swati Jha, ENTER, 1, 10:39:22
Rohan Dhar, ENTER, 3, 10:39:24
Khushdev Pandit, EXIT, 1, 10:39:33
Khushdev Pandit, ENTER, 5, 10:39:37
Thanmayee Matha, EXIT, 1, 10:39:53
Khushdev Pandit, EXIT, 5, 10:39:57
Karan Baboota, ENTER, 3, 10:40:15
Khushdev Pandit, ENTER, 1, 10:40:17
Swaib Ilias Mazumder, EXIT, 5, 10:40:17
Ujjwal Garg, ENTER, 1, 10:40:56
Rishika Jain, EXIT, 1, 10:40:59
Vamshi Krishna Vannekala, EXIT, 1, 10:41:00
Khushdev Pandit, EXIT, 5, 10:41:36
Khushdev Pandit, ENTER, 3, 10:42:11
Khushdev Pandit, EXIT, 1, 10:42:16
Gayam Shivakanth Reddy, EXIT, 1, 10:42:25
Swati Jha, EXIT, 3, 10:42:27
Ankita Mahato, ENTER, 1, 10:42:32
Vibhor Agarwal, EXIT, 5, 10:42:32
Khushdev Pandit, ENTER, 1, 10:42:55
Swati Jha, ENTER, 3, 10:42:59
Aditya Raj Singh, EXIT, 1, 10:43:16
Swaib Ilias Mazumder, ENTER, 1, 10:43:43
Khushdev Pandit, EXIT, 3, 10:43:46
Swatantra kumar nigam, ENTER, 5, 10:43:52
Sushil Kumar, ENTER, 1, 10:43:56
Khushdev Pandit, ENTER, 1, 10:44:01
Ayush Srivastava, EXIT, 1, 10:44:04
Khushdev Pandit, EXIT, 1, 10:44:17
Khushdev Pandit, ENTER, 1, 10:44:29
Thanmayee Matha, ENTER, 1, 10:44:34
Vamshi Krishna Vannekala, ENTER, 5, 10:45:05
Ayush Srivastava, ENTER, 1, 10:45:27
Karan Baboota, EXIT, 1, 10:45:35
Khushdev Pandit, EXIT, 3, 10:45:36
Anuj Yadav, ENTER, 3, 10:45:59
Sahil Goyal, ENTER, 3, 10:46:02
Shraman Jain, ENTER, 5, 10:46:13
Thakkar Divyakumar Rameshbhai, ENTER, 1, 10:46:16
Khushdev Pandit, ENTER, 5, 10:46:20
Shraman Jain, EXIT, 5, 10:46:20
Dhruv Mishra, ENTER, 1, 10:46:48
Dhruv Mishra, EXIT, 5, 10:46:54
Thanmayee Matha, EXIT, 3, 10:47:05
Shashank Dargar, EXIT, 1, 10:47:11
Rishika Jain, ENTER, 3, 10:47:27
Surbhi Goyal, ENTER, 5, 10:47:27
Khushdev Pandit, EXIT, 5, 10:47:55
Shraman Jain, ENTER, 5, 10:47:56
Khushdev Pandit, ENTER, 1, 10:48:05
Khushdev Pandit, EXIT, 1, 10:48:08
Shambhavi Sharma, EXIT, 1, 10:48:24
Mohammed Kaif, EXIT, 1, 10:48:26
Rohan Dhar, EXIT, 3, 10:48:33
Khushdev Pandit, ENTER, 5, 10:48:34
Khushdev Pandit, EXIT, 3, 10:48:49
Shambhavi Sharma, ENTER, 1, 10:48:51
Kartik Gupta, ENTER, 5, 10:48:57
Swati Jha, EXIT, 5, 10:49:31
Sumit Kumar, EXIT, 3, 10:49:40
Gayam Shivakanth Reddy, ENTER, 3, 10:49:41
Vibhor Agarwal, ENTER, 5, 10:49:42
Kartik Gupta, EXIT, 5, 10:49:57
Ujjwal Garg, EXIT, 3, 10:49:58
Khushdev Pandit, ENTER, 1, 10:50:15
Ujjwal Garg, ENTER, 1, 10:50:28
Surbhi Goyal, EXIT, 5, 10:50:37
Swatantra kumar nigam, EXIT, 1, 10:50:44
Bharat Goyal, ENTER, 3, 10:50:56
Khushdev Pandit, EXIT, 3, 10:51:02
Shashank Dargar, ENTER, 5, 10:51:08
Rishika Jain, EXIT, 1, 10:51:15
Bhavya Jain, ENTER, 3, 10:51:15
Vibhor Agarwal, EXIT, 1, 10:51:17
Khushdev Pandit, ENTER, 1, 10:51:19
Khushdev Pandit, EXIT, 5, 10:51:20
Aryan Chaudhary, EXIT, 3, 10:51:36
Sahil Goyal, EXIT, 5, 10:51:38
Rishabh Oberoi, EXIT, 5, 10:51:42
Manas, ENTER, 5, 10:51:42
Vibhor Agarwal, ENTER, 1, 10:51:48
Sumit Kumar, ENTER, 5, 10:52:01
Thanmayee Matha, ENTER, 3, 10:52:01
Shambhavi Sharma, EXIT, 3, 10:52:05
Sushil Kumar, EXIT, 1, 10:52:07
Ujjwal Garg, EXIT, 3, 10:52:09
Khushdev Pandit, ENTER, 1, 10:52:14
Khushdev Pandit, EXIT, 5, 10:52:18
Khushdev Pandit, ENTER, 1, 10:52:24
Karan Baboota, ENTER, 3, 10:52:42
Khushdev Pandit, EXIT, 5, 10:52:52
Khushdev Pandit, ENTER, 3, 10:53:00
Smiti Singhal, EXIT, 3, 10:53:01
Khushdev Pandit, EXIT, 3, 10:53:04
Ujjwal Garg, ENTER, 1, 10:53:06
Khushdev Pandit, ENTER, 5, 10:53:33
Khushdev Pandit, EXIT, 5, 10:53:35
Ayush Srivastava, EXIT, 5, 10:53:37
Manas, EXIT, 5, 10:53:46
Mohammed Kaif, ENTER, 5, 10:54:02
Sahil Goyal, ENTER, 3, 10:54:16
Khushdev Pandit, ENTER, 3, 10:54:34
Aditya Raj Singh, ENTER, 3, 10:54:45
Khushdev Pandit, EXIT, 5, 10:54:57
Dhruv Mishra, ENTER, 5, 10:55:50
Bhavya Jain, EXIT, 5, 10:55:53
Surbhi Goyal, ENTER, 5, 10:55:54
Sahil Goyal, EXIT, 5, 10:56:19
Khushdev Pandit, ENTER, 1, 10:56:27
Vibhor Agarwal, EXIT, 3, 10:57:09
Surbhi Goyal, EXIT, 5, 10:57:13
Khushdev Pandit, EXIT, 1, 10:57:13
Ankita Mahato, EXIT, 3, 10:57:19
Aditya Raj Singh, EXIT, 1, 10:57:39
Khushdev Pandit, ENTER, 5, 10:57:46
Vibhor Agarwal, ENTER, 3, 10:57:58
Manas, ENTER, 3, 10:57:58
Ankita Mahato, ENTER, 3, 10:58:04
Rishabh Oberoi, ENTER, 3, 10:58:19
Bharat Goyal, EXIT, 3, 10:58:22
Khushdev Pandit, EXIT, 1, 10:58:23
Surbhi Goyal, ENTER, 5, 10:58:36
Sushil Kumar, ENTER, 1, 10:58:47
Ayush Srivastava, ENTER, 3, 10:58:57
Snehal, ENTER, 1, 10:59:33
Gayam Shivakanth Reddy, EXIT, 1, 10:59:43
Sahil Goyal, ENTER, 5, 10:59:54
Surbhi Goyal, EXIT, 1, 11:00:04
Khushdev Pandit, ENTER, 5, 11:00:08
Smiti Singhal, ENTER, 3, 11:00:27
Khushdev Pandit, EXIT, 1, 11:00:29
Shashank Dargar, EXIT, 1, 11:00:38
Rohan Dhar, ENTER, 1, 11:00:52
Bharat Goyal, ENTER, 5, 11:00:57
Vibhor Agarwal, EXIT, 3, 11:01:03
Khushdev Pandit, ENTER, 1, 11:01:18
Ankita Mahato, EXIT, 3, 11:01:40
Dhruv Mishra, EXIT, 1, 11:02:25
Thanmayee Matha, EXIT, 3, 11:02:29
Param Shah, EXIT, 5, 11:02:40
Aryan Chaudhary, ENTER, 5, 11:02:55
Swati Jha, ENTER, 5, 11:03:01
Khushdev Pandit, EXIT, 3, 11:03:05
Rishabh Oberoi, EXIT, 1, 11:03:06
Khushdev Pandit, ENTER, 3, 11:03:09
Swaib Ilias Mazumder, EXIT, 1, 11:03:09
Manas, EXIT, 1, 11:03:12
Manav Saini, EXIT, 5, 11:03:14
Rohan Dhar, EXIT, 3, 11:03:25
Ankita Mahato, ENTER, 1, 11:03:33
Bhavya Jain, ENTER, 1, 11:03:34
Shraman Jain, EXIT, 3, 11:03:35
Vibhor Agarwal, ENTER, 5, 11:03:43
Kartik Gupta, ENTER, 3, 11:03:51
Yuvraj Singh, EXIT, 1, 11:03:54
Khushdev Pandit, EXIT, 3, 11:03:56
Dhruv Mishra, ENTER, 5, 11:04:06
Khushdev Pandit, ENTER, 3, 11:04:20
Rishika Jain, ENTER, 3, 11:04:40
Snehal, EXIT, 1, 11:04:41
Surbhi Goyal, ENTER, 1, 11:04:46
Ayush Srivastava, EXIT, 3, 11:04:58
Mohammed Kaif, EXIT, 1, 11:05:05
Swaib Ilias Mazumder, ENTER, 1, 11:05:16
Snehal, ENTER, 5, 11:05:29
Aryan Chaudhary, EXIT, 5, 11:05:49
Kartik Gupta, EXIT, 5, 11:06:35
Shraman Jain, ENTER, 3, 11:06:48
Snehal, EXIT, 5, 11:06:49
Khushdev Pandit, EXIT, 5, 11:06:54
Ankita Mahato, EXIT, 1, 11:06:58
Smiti Singhal, EXIT, 1, 11:07:00
Khushdev Pandit, ENTER, 5, 11:07:06
Swatantra kumar nigam, ENTER, 3, 11:07:18
Aryan Chaudhary, ENTER, 5, 11:07:33
Karan Baboota, EXIT, 3, 11:07:36
Ayush Srivastava, ENTER, 3, 11:07:38
Ayush Srivastava, EXIT, 5, 11:07:56
Smiti Singhal, ENTER, 3, 11:07:57
Surbhi Goyal, EXIT, 5, 11:07:58
Aryan Chaudhary, EXIT, 5, 11:07:58
Karan Baboota, ENTER, 1, 11:08:11
Khushdev Pandit, EXIT, 3, 11:08:13
Bhavya Jain, EXIT, 5, 11:08:13
Gayam Shivakanth Reddy, ENTER, 5, 11:08:28
Khushdev Pandit, ENTER, 3, 11:09:03
Khushdev Pandit, EXIT, 5, 11:09:06
Snehal, ENTER, 5, 11:09:21
Khushdev Pandit, ENTER, 5, 11:09:25
Mohammed Kaif, ENTER, 1, 11:09:33
Ujjwal Garg, EXIT, 1, 11:09:49
Khushdev Pandit, EXIT, 3, 11:09:50
Snehal, EXIT, 5, 11:09:52
Sahil Goyal, EXIT, 5, 11:10:03
Khushdev Pandit, ENTER, 3, 11:10:13
Anuj Yadav, EXIT, 3, 11:10:23
Rohan Dhar, ENTER, 5, 11:10:30
Khushdev Pandit, EXIT, 1, 11:10:55
Khushdev Pandit, ENTER, 1, 11:11:02
Khushdev Pandit, EXIT, 3, 11:11:06
Khushdev Pandit, ENTER, 1, 11:11:21
Sahil Goyal, ENTER, 1, 11:11:25
Khushdev Pandit, EXIT, 5, 11:11:33
Vamshi Krishna Vannekala, EXIT, 5, 11:11:47
Vibhor Agarwal, EXIT, 1, 11:11:59
Snehal, ENTER, 1, 11:12:01
Sushil Kumar, EXIT, 3, 11:12:16
Swatantra kumar nigam, EXIT, 3, 11:12:32
Gayam Shivakanth Reddy, EXIT, 1, 11:12:46
Thanmayee Matha, ENTER, 3, 11:12:53
Khushdev Pandit, ENTER, 5, 11:12:55
Mohammed Kaif, EXIT, 1, 11:12:58
Bharat Goyal, EXIT, 1, 11:13:01
Kartik Gupta, ENTER, 1, 11:13:11
Anuj Yadav, ENTER, 5, 11:13:16
Khushdev Pandit, EXIT, 3, 11:13:18
Khushdev Pandit, ENTER, 1, 11:13:18
Kartik Gupta, EXIT, 1, 11:13:27
Aryan Chaudhary, ENTER, 5, 11:13:37
Anuj Yadav, EXIT, 3, 11:13:57
Karan Baboota, EXIT, 3, 11:14:18
Thakkar Divyakumar Rameshbhai, EXIT, 5, 11:14:21
Ujjwal Garg, ENTER, 3, 11:14:25
Aditya Raj Singh, ENTER, 3, 11:14:35
Khushdev Pandit, EXIT, 5, 11:14:37
Khushdev Pandit, ENTER, 1, 11:14:38
Thakkar Divyakumar Rameshbhai, ENTER, 5, 11:14:38
Yuvraj Singh, ENTER, 3, 11:14:41
Surbhi Goyal, ENTER, 1, 11:14:56
Khushdev Pandit, EXIT, 5, 11:15:21
Kartik Gupta, ENTER, 3, 11:15:41
Khushdev Pandit, ENTER, 1, 11:15:49
Sahil Goyal, EXIT, 5, 11:16:03
Khushdev Pandit, EXIT, 3, 11:16:07
Khushdev Pandit, ENTER, 5, 11:16:08
Ankita Mahato, ENTER, 3, 11:16:15
Khushdev Pandit, EXIT, 1, 11:16:16
Vamshi Krishna Vannekala, ENTER, 5, 11:16:31
Khushdev Pandit, ENTER, 3, 11:17:02
Rishika Jain, EXIT, 5, 11:17:05
Swati Jha, EXIT, 5, 11:17:15
Khushdev Pandit, EXIT, 1, 11:17:21
Anuj Yadav, ENTER, 3, 11:17:26
Vamshi Krishna Vannekala, EXIT, 1, 11:17:51
Vamshi Krishna Vannekala, ENTER, 1, 11:18:04
Ujjwal Garg, EXIT, 1, 11:18:14
Smiti Singhal, EXIT, 3, 11:18:37
Manas, ENTER, 3, 11:18:43
Khushdev Pandit, ENTER, 1, 11:18:57
Mohammed Kaif, ENTER, 3, 11:19:07
Manas, EXIT, 3, 11:19:09
Smiti Singhal, ENTER, 3, 11:19:10
Khushdev Pandit, EXIT, 3, 11:19:20
Khushdev Pandit, ENTER, 5, 11:19:20
Khushdev Pandit, EXIT, 1, 11:19:33
Ujjwal Garg, ENTER, 3, 11:19:34
Khushdev Pandit, ENTER, 5, 11:19:44
Swati Jha, ENTER, 3, 11:19:48
Thakkar Divyakumar Rameshbhai, EXIT, 5, 11:19:50
Aryan Chaudhary, EXIT, 1, 11:19:51
Khushdev Pandit, EXIT, 3, 11:19:52
Thakkar Divyakumar Rameshbhai, ENTER, 5, 11:19:53
Manav Saini, ENTER, 5, 11:20:12
Khushdev Pandit, ENTER, 5, 11:20:19
Khushdev Pandit, EXIT, 3, 11:20:55
Khushdev Pandit, ENTER, 5, 11:20:58
Thanmayee Matha, EXIT, 5, 11:21:06
Khushdev Pandit, EXIT, 5, 11:21:16
Khushdev Pandit, ENTER, 1, 11:21:19
Rohan Dhar, EXIT, 1, 11:21:20
Khushdev Pandit, EXIT, 5, 11:21:30
Shraman Jain, EXIT, 3, 11:22:04
Anuj Yadav, EXIT, 3, 11:22:06
Khushdev Pandit, ENTER, 3, 11:22:10
Manas, ENTER, 1, 11:22:12
Mohammed Kaif, EXIT, 1, 11:22:20
Khushdev Pandit, EXIT, 5, 11:22:42
Khushdev Pandit, ENTER, 3, 11:22:50
Swaib Ilias Mazumder, EXIT, 1, 11:22:50
Manas, EXIT, 3, 11:23:13
Sahil Goyal, ENTER, 3, 11:23:17
Mohammed Kaif, ENTER, 5, 11:23:21
Khushdev Pandit, EXIT, 5, 11:23:34
Shambhavi Sharma, ENTER, 3, 11:23:53
Manas, ENTER, 1, 11:23:56
Khushdev Pandit, ENTER, 1, 11:24:10
Khushdev Pandit, EXIT, 1, 11:24:22
Khushdev Pandit, ENTER, 3, 11:24:42
Shraman Jain, ENTER, 3, 11:24:50
Thakkar Divyakumar Rameshbhai, EXIT, 3, 11:24:53
Swatantra kumar nigam, ENTER, 3, 11:25:26
Khushdev Pandit, EXIT, 5, 11:26:01
Sumit Kumar, EXIT, 5, 11:26:16
Yuvraj Singh, EXIT, 1, 11:26:16
Khushdev Pandit, ENTER, 3, 11:26:21
Bharat Goyal, ENTER, 5, 11:26:32
Khushdev Pandit, EXIT, 1, 11:26:38
Shraman Jain, EXIT, 5, 11:26:46
Mohammed Kaif, EXIT, 1, 11:26:51
Khushdev Pandit, ENTER, 3, 11:27:21
Rishabh Oberoi, ENTER, 5, 11:27:22
Karan Baboota, ENTER, 5, 11:27:24
Shraman Jain, ENTER, 5, 11:27:35
Khushdev Pandit, EXIT, 5, 11:27:41
Vibhor Agarwal, ENTER, 1, 11:27:41
Khushdev Pandit, ENTER, 5, 11:27:55
Khushdev Pandit, EXIT, 1, 11:28:05
Khushdev Pandit, ENTER, 3, 11:28:12
Smiti Singhal, EXIT, 3, 11:28:17
Param Shah, ENTER, 5, 11:28:21
Rohan Dhar, ENTER, 5, 11:28:47
Rishika Jain, ENTER, 1, 11:29:14
Snehal, EXIT, 5, 11:29:17
Khushdev Pandit, EXIT, 5, 11:29:19
Khushdev Pandit, ENTER, 5, 11:29:20
Aditya Raj Singh, EXIT, 3, 11:29:20
Surbhi Goyal, EXIT, 3, 11:29:34
Aditya Raj Singh, ENTER, 1, 11:29:34
Surbhi Goyal, ENTER, 3, 11:29:49
Vibhor Agarwal, EXIT, 3, 11:29:52
Khushdev Pandit, EXIT, 5, 11:30:12
Khushdev Pandit, ENTER, 3, 11:30:17
Sushil Kumar, ENTER, 5, 11:30:33
Khushdev Pandit, EXIT, 1, 11:30:42
Rishika Jain, EXIT, 5, 11:30:53
Mohammed Kaif, ENTER, 1, 11:30:57
Khushdev Pandit, ENTER, 3, 11:30:58
Manas, EXIT, 1, 11:31:01
Rohan Dhar, EXIT, 3, 11:31:03
Mohammed Kaif, EXIT, 1, 11:31:17
Manas, ENTER, 1, 11:31:21
Snehal, ENTER, 3, 11:31:33
Surbhi Goyal, EXIT, 1, 11:31:51
Swatantra kumar nigam, EXIT, 5, 11:32:11
Shambhavi Sharma, EXIT, 1, 11:32:29
Surbhi Goyal, ENTER, 5, 11:32:53
Swati Jha, EXIT, 5, 11:33:05
Yuvraj Singh, ENTER, 3, 11:33:22
Surbhi Goyal, EXIT, 1, 11:33:26
Ayush Srivastava, ENTER, 3, 11:33:47
Rohan Dhar, ENTER, 1, 11:33:48
Gayam Shivakanth Reddy, ENTER, 3, 11:34:09
Manas, EXIT, 5, 11:34:09
Khushdev Pandit, EXIT, 3, 11:34:11
Shambhavi Sharma, ENTER, 5, 11:34:31
Yuvraj Singh, EXIT, 1, 11:34:40
Surbhi Goyal, ENTER, 5, 11:34:43
Param Shah, EXIT, 5, 11:34:47
Khushdev Pandit, ENTER, 3, 11:35:08
Snehal, EXIT, 3, 11:35:09
Swaib Ilias Mazumder, ENTER, 5, 11:35:14
Khushdev Pandit, EXIT, 5, 11:35:28
Gayam Shivakanth Reddy, EXIT, 5, 11:35:56
Bharat Goyal, EXIT, 1, 11:36:05
